ID,Conductivity (mS/cm),Resistance (Î©),Date,Li2SO4_molality
13ced72c5e5c0f460c9340bfb3565c0f86fa2eab754d2ba78f47ac3ef9dcaf58,45.26378077,221.4507141,3/20/2025 15:29,0.859022556
3609f5dd524307c1338c440357db3d12b19bdf5215dfab308d027139134b26ea,56.72320399,176.712454,3/20/2025 17:10,2.584586466
38192247345be80917c1ab5feddab84624da27da23b9a5e322dccf7e5b43eafa,44.96420592,222.9261336,3/20/2025 14:55,0.859022556
45dbdef059812b417c8d3edb18960b0a5160502b9d93f58844bcd9d13eebfb2a,57.15334007,175.3825159,3/20/2025 16:45,2.584586466
4a7619f25fcf42b83c1b2daee04272551dcd8866ea5987501f3413ee53223646,56.41822207,177.6677146,3/20/2025 16:08,1.721804511
621b0a7c38a97a47a9bc10c13e8cfbe65a6a7cadcb3a63420a2196ecb5d5191f,53.28073018,188.129865,3/20/2025 15:38,1.287593985
62336703b471b2f77d8f1a642ac2d620630574063050e84832cce73a5dd33200,53.54853938,187.188982,3/20/2025 15:47,1.287593985
6d4c34f2b574250de12f02f4d03c5e92340192490070a67c1cc086fd80fdf576,33.16422099,302.2442945,3/20/2025 14:46,0.430451128
7e631ace95907e74c1846ac23016de55df457ff60315d3e5f0a3004a341a33ef,36.76567741,272.6373423,3/20/2025 14:36,0.430451128
aee22247593331c781bf99f3b7df7e7d321e501adbaccb81a700df344c6537af,58.39957015,171.6399033,3/20/2025 17:01,2.156015038
caf2cc04feda191feab0677ab26f01a7cea767f51e6c5a04f7ed565131bcabaf,57.6928734,173.7423703,3/20/2025 16:27,2.156015038
f24e74c49a865ffd2dd6b3432584fe8ed818a00c9e1e96e5af5142abff101d77,56.69446043,176.8020456,3/20/2025 16:18,1.721804511
